Titre,Réalisateur,Date de sortie,Genres,Résumé,Note
Threat Level Midnight,Tucker Gates,2011,['Comédie'],"Après 11 ans de préparation, Michael Scott nous livre enfin son épisode spécial Threat Level Midnight. Cet épisode met en scène Michael Scarn, son acolyte Dwight, et Jim : ""Goldenface"", ainsi que plusieurs autres connaissances de Michael.",8.7
Douze Hommes en colère,Sidney Lumet,1957,"['Policier', 'Drame']","Un jeune homme d’origine modeste est accusé du meurtre de son père et risque la peine de mort. Le jury composé de douze hommes se retire pour délibérer et procède immédiatement à un vote : onze votent coupable, or la décision doit être prise à l’unanimité. Le juré (Henry Fonda) qui a voté non-coupable, sommé de se justifier, explique qu’il a un doute et que la vie d’un homme mérite quelques heures de discussion. Il s’emploie alors à les convaincre un par un...",8.7
Harakiri,Masaki Kobayashi,1962,['Drame'],"Au XVIIe siècle, le Japon n’est plus en guerre et le pays est dirigé avec fermeté. Hanshirô Tsugumo, un rônin (samouraï errant) sans travail parmi tant d’autres, décide de frapper à la porte du puissant clan des Ii. Reçu par Kageyu Saitô, l'intendant du clan, il lui demande la permission d'accomplir le suicide par harakiri dans la résidence. Tentant de l’en dissuader, Saitô commence alors à lui raconter l’histoire de Motome Chijiwa, un ancien rônin qui souhaitait accomplir, lui aussi, le même...  Voir plus",8.6
Blade Runner : The Final Cut,Ridley Scott,2007,['Science-fiction'],"Dans les dernières années du 20ème siècle, des milliers d'hommes et de femmes partent à la conquête de l'espace, fuyant les mégalopoles devenues insalubres. Sur les colonies, une nouvelle race d'esclaves voit le jour : les répliquants, des androïdes que rien ne peut distinguer de l'être humain. Los Angeles, 2019. Après avoir massacré un équipage et pris le contrôle d'un vaisseau, les répliquants de type Nexus 6, le modèle le plus perfectionné, sont désormais déclarés ""hors la loi"". Quatre...  Voir plus",8.6
"Le Bon, la Brute et le Truand",Sergio Leone,1966,"['Western', 'Aventure']",Un chasseur de primes rejoint deux hommes dans une alliance précaire. Leur but ? Trouver un coffre rempli de pièces d'or dans un cimetière isolé.,8.5
Barberousse,Akira Kurosawa,1965,['Drame'],"Nous sommes à Koishikawa au XIX° siècle. Kyojio Niide, un médecin hargneux mais généreux, décide d'entraîner un jeune apprenti, Noboru Yasumoto.",8.5
Les Sept Samouraïs,Akira Kurosawa,1954,"['Arts martiaux', 'Aventure', 'Drame', 'Action']","Dans un Japon médiéval meurtri par les guerres civiles, des bandits martyrisent la population. Les villageois décident d'engager des samouraïs.",8.5
Il était une fois dans l'Ouest,Sergio Leone,1968,['Western'],L'histoire épique d'un mystérieux inconnu avec un harmonica qui s'allie à un desperado pour protéger une belle veuve d'un assassin impitoyable.,8.5
Le Parrain,Francis Ford Coppola,1972,"['Policier', 'Drame']","New York, 1945. Don Vito Corleone règne sur l'une des familles les plus puissantes de la mafia italo-américaine. Virgil Sollozzo, qui dirige la famille Tattaglia, lui propose de s'associer sur un nouveau marché prometteur : le trafic de drogue, mais celui-ci refuse. Don Vito est alors pris pour cible lors d'une tentative d'assassinat en pleine rue. Criblé de balles, il survit par miracle. Son fils Michael, qui s'était toujours tenu à l'écart des affaires familiales, se porte volontaire pour le...  Voir plus",8.5
Il était une fois en Amérique,Sergio Leone,1984,"['Drame', 'Gangster']","Il était une fois deux truands juifs, Max et Noodles, liés par un pacte d'éternelle amitié. Débutant au début du siècle par de fructueux trafics dans le ghetto de New York, ils voient leurs chemins se séparer, lorsque Noodles se retrouve durant quelques années derrière les barreaux, puis se recouper en pleine période de prohibition, dans les années vingt. Jusqu'au jour où la trahison les sépare à nouveau.",8.5
